Qty,Reference(s),Value,Configuration,Digi-Key PN
51,"C201, C204, C301, C302, C303, C404, C406, C503, C504, C505, C602, C605, C703, C704, C705, C801, C802, C901, C902, C908, C912, C916, C917, C1001, C1201, C1202, C1203, C1205, C1206, C1209, C1301, C1302, C1303, C1404, C1502, C1504, C1508, C1511, C1601, C1603, C1702, C1710, C1801, C1803, C1805, C1806, C1901, C1902, C1903, C1904, C2001",0.1uF,,490-10701-1-ND
14,"C202, C403, C904, C905, C910, C914, C918, C919, C1003, C1506, C1509, C1512, C1604, C1704",10nF,,490-13295-1-ND
11,"C203, C906, C907, C911, C915, C920, C921, C1005, C1510, C1513, C1605",1nF,,399-1032-1-ND
1,C205,100uF,,718-1102-1-ND
1,C401,10uF,,1276-7031-1-ND
19,"C402, C601, C603, C604, C903, C909, C913, C1401, C1402, C1403, C1501, C1503, C1505, C1507, C1514, C1602, C1706, C1708, C1802",10uF,,490-13211-1-ND
1,C405,100uF,,587-1963-1-ND
1,C1204,4.7uF,,490-14306-1-ND
2,"C1207, C1208",47pF,,399-17558-1-ND
1,D201,24V,,SMAJ24CALFCT-ND
2,"D401, D1401",BAT48JFILM,,497-5711-1-ND
1,D1201,Yellow,,1497-1389-1-ND
5,"D1801, D1802, D1804, D1805, D1901",Green,,1497-1219-1-ND
3,"D1902, D1903, D1904",Red,,1497-1174-1-ND
1,J201,+12V IN,,CP-202BH-ND
1,J801,PICKIT3,,
1,J1201,USB_B_Mini,,732-2109-1-ND
1,J2001,I2C,,
1,J2002,USB UART,,
1,L401,3.3uH,,541-2567-1-ND
5,"L901, L902, L1001, L1201, L1202",600R 0.5A,,490-5441-1-ND
4,"MK2301, MK2302, MK2305, MK2306",Standoff,,1772-1220-ND
4,"MK2303, MK2304, MK2307, MK2308",Screw,,36-9900-ND
1,Q201,Si4946BEY,,SI4946BEY-T1-E3CT-ND
2,"Q401, Q801",BSS214NW,,BSS214NWH6327XTSA1CT-ND
1,Q402,ZXMS6004FFTA,,ZXMS6004FFCT-ND
1,R201,6.04M,,541-CRCW04026M04FKEDCT-ND
1,R202,86.6k,,541-86.6KLCT-ND
2,"R203, R204",243k,,YAG3070CT-ND
14,"R205, R206, R209, R212, R403, R407, R409, R606, R608, R801, R803, R1205, R1209, R2002",10,Telemetry,541-3964-1-ND
1,R207,13.7k,,RMCF0402FT13K7CT-ND
2,"R208, R211",5.23k,,RMCF0402FT5K23CT-ND
4,"R210, R408, R607, R1206",0.02,,P16010CT-ND
39,"R213, R405, R406, R601, R602, R802, R804, R1001, R1004, R1006, R1101, R1102, R1204, R1501, R1502, R1503, R1504, R1505, R1506, R1507, R1601, R1602, R1603, R1605, R1606, R1607, R1608, R1609, R1610, R1611, R1612, R1613, R1704, R1706, R1901, R1902, R1905, R1906, R2001",10k,DNP,RMCF0402FT10K0CT-ND
1,R410,562k,,311-562KLRCT-ND
1,R411,180k,,A129654CT-ND
1,R609,1.87k,,RMCF0402FT1K87CT-ND
1,R610,1.5k,,311-1.50KLRCT-ND
10,"R805, R1210, R1801, R1802, R1804, R1805, R1903, R1904, R1907, R1908",1k,,541-1.00KLCT-ND
1,R1002,100,,541-100LCT-ND
1,R1201,487k,,RMCF0402FT487KCT-ND
1,R1202,6.04k,,541-4067-1-ND
1,R1203,40.2k,,541-4097-1-ND
2,"R1207, R1208",27,,541-4082-1-ND
2,"R1604, R1702",499,,RMCF0402FT499RCT-ND
1,RV1601,10k,,TS53YL-10KCT-ND
1,SW801,MRST,,
1,SW1702,Cap_Touch,,
1,U201,LTC4365DDB,,LTC4365IDDB#TRMPBFCT-ND
4,"U301, U503, U703, U1301",INA219BxDCN,Telemetry,296-46420-1-ND
5,"U302, U502, U702, U1302, U2001",MCP9804,Telemetry,MCP9804T-E/MCCT-ND
1,U401,TPS62150,,296-41757-1-ND
1,U601,TPS7A91,,296-48317-1-ND
1,U1101,PIC32MZ0512EFE064T-I_PT,,PIC32MZ0512EFE064T-I/PTCT-ND
1,U1201,TLV6700,,296-51696-1-ND
1,U1202,FT234XD,,768-1178-1-ND
1,U1203,TPD3S014DBVR,,296-38835-1-ND
1,U1401,DS1683,,DS1683S+-ND
1,U1501,TPS22929D,,296-38579-1-ND
1,U1502,TCA9803,,296-46573-1-ND
1,U1503,MAX30102,,MAX30102EFD+-ND
2,"U1601, U1706",74LVC1G17,,296-11934-1-ND
1,U1602,NHD-0420H1Z,,NHD-0420H1Z-FSW-GBW-33V3-ND
2,"U1702, U1801",TPS71530,,296-15045-1-ND
1,U1704,AT42QT1010-TSHR,,AT42QT1010-TSHRCT-ND
8,"U1802, U1803, U1805, U1806, U1901, U1902, U1903, U1904",74LVC1G06,,296-8484-1-ND
1,X1001,ASE-8.000MHz,,"	535-9558-1-ND"
