Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
1,51,"C201, C204, C301, C302, C303, C404, C406, C503, C504, C505, C602, C605, C703, C704, C705, C801, C802, C901, C902, C908, C912, C916, C917, C1001, C1201, C1202, C1203, C1205, C1206, C1209, C1301, C1302, C1303, C1404, C1502, C1504, C1508, C1511, C1601, C1603, C1702, C1710, C1801, C1803, C1805, C1806, C1901, C1902, C1903, C1904, C2001",0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,X7R,490-10701-1-ND,,,,,50V,,402
2,14,"C202, C403, C904, C905, C910, C914, C918, C919, C1003, C1506, C1509, C1512, C1604, C1704",10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,X7R,490-13295-1-ND,,,,,50V,,402
3,11,"C203, C906, C907, C911, C915, C920, C921, C1005, C1510, C1513, C1605",1nF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,X7R,399-1032-1-ND,,,,,50V,,402
4,1,C205,100uF,Custom_Library:CP_Tant_Custom,Capacitors_Tantalum_SMD:CP_Tantalum_Case-X_EIA-7343-43_Reflow,,,,,,,718-1102-1-ND,,,,10%,16V,,7343
5,1,C401,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-7031-1-ND,,,,,25V,,1206
6,19,"C402, C601, C603, C604, C903, C909, C913, C1401, C1402, C1403, C1501, C1503, C1505, C1507, C1514, C1602, C1706, C1708, C1802",10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,X5R,490-13211-1-ND,,,,,6.3V,,402
7,1,C405,100uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X5R,587-1963-1-ND,,,,,6.3V,,1206
8,1,C1204,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,X5R,490-14306-1-ND,,,,,10V,,402
9,2,"C1207, C1208",47pF,Custom_Library:C_Custom,Capacitors_SMD:C_0402,,,,,,NP0,399-17558-1-ND,,,,,50V,,402
10,1,D201,24V,Device:D_TVS_ALT,Diodes_SMD:D_SMA,~,,,,,,SMAJ24CALFCT-ND,,,,,,,
11,2,"D401, D1401",BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,497-5711-1-ND,,,,,,,
12,1,D1201,Yellow,Device:LED,LEDs:LED_0402,~,,,,,,1497-1389-1-ND,,,,,,,
13,5,"D1801, D1802, D1804, D1805, D1901",Green,Device:LED,LEDs:LED_0402,~,,,,,,1497-1219-1-ND,,,,,,,
14,3,"D1902, D1903, D1904",Red,Device:LED,LEDs:LED_0402,~,,,,,,1497-1174-1-ND,,,,,,,
15,1,DOC301,0x40,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
16,1,DOC302,0x18,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
17,1,DOC502,0x19,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
18,1,DOC503,0x42,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
19,1,DOC702,0x1A,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
20,1,DOC703,0x44,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
21,1,DOC1201,COM_Port_Settings,Custom_Library:COM_Port_Settings,,,,115200 bps,,8 bit,,,None,None,1,,,,
22,1,DOC1301,0x45,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
23,1,DOC1302,0x1B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
24,1,DOC1401,0x6B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
25,1,DOC1501,0x57,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
26,1,DOC2001,0x1C,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
27,4,"H2301, H2302, H2303, H2304",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,,,
28,1,J201,+12V IN,Connector:Barrel_Jack_Switch,Connectors:BARREL_JACK,~,,,,,,CP-202BH-ND,,,,,,,
29,1,J801,PICKIT3,Connector_Generic:Conn_01x06,Custom Footprints Library:PICKIT3_Header,~,,,,,,,,,,,,,
30,1,J1201,USB_B_Mini,Connector:USB_B_Mini,Connectors:USB_Mini-B,~,,,,,,732-2109-1-ND,,,,,,,
31,1,J2001,I2C,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,,,,,,,
32,1,J2002,USB UART,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,,,,,,,
33,1,L401,3.3uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-1212,,2.7A,,,,,541-2567-1-ND,,,,20%,,,IHLP1212
34,4,"L901, L902, L1001, L1202",600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0402,~,,,,,,490-5441-1-ND,,,,,,,
35,1,L1201,DNP,Device:Ferrite_Bead,Inductors_SMD:L_0402,~,,,DNP,,,DNP,,,,,,,
36,4,"MK2301, MK2302, MK2305, MK2306",Standoff,Custom_Library:Standoff,,,,,,,,1772-1220-ND,,,,,,,
37,4,"MK2303, MK2304, MK2307, MK2308",Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
38,1,Q201,Si4946BEY,Custom_Library:Si4946BEY,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,,,SI4946BEY-T1-E3CT-ND,,,,,,,
39,2,"Q401, Q801",BSS214NW,Transistor_FET:BSS214NW,Package_TO_SOT_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
40,1,Q402,ZXMS6004FFTA,Custom_Library:ZXMS6004FFTA,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/ZXMS6004FF.pdf,,,,,,ZXMS6004FFCT-ND,,,,,,,
41,1,R201,6.04M,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-CRCW04026M04FKEDCT-ND,,,,1%,,1/16W,402
42,1,R202,86.6k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-86.6KLCT-ND,,,,1%,,1/16W,402
43,2,"R203, R204",243k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,YAG3070CT-ND,,,,1%,,1/16W,402
44,15,"R205, R206, R209, R212, R403, R407, R409, R606, R608, R801, R803, R1205, R1209, R1604, R2002",10,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,Telemetry,,,541-3964-1-ND,,,,1%,,1/16W,402
45,1,R207,13.7k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,RMCF0402FT13K7CT-ND,,,,1%,,1/16W,402
46,2,"R208, R211",5.23k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,RMCF0402FT5K23CT-ND,,,,1%,,1/16W,402
47,4,"R210, R408, R607, R1206",0.02,Custom_Library:R_Custom,Resistors_SMD:R_0612,,,,,,,P16010CT-ND,,,,1%,,1W,612
48,39,"R213, R405, R406, R601, R602, R802, R804, R1001, R1004, R1006, R1101, R1102, R1204, R1501, R1502, R1503, R1504, R1505, R1506, R1507, R1601, R1602, R1603, R1605, R1606, R1607, R1608, R1609, R1610, R1611, R1612, R1613, R1704, R1706, R1901, R1902, R1905, R1906, R2001",10k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,DNP,,,RMCF0402FT10K0CT-ND,,,,1%,,1/16W,402
49,1,R410,562k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,311-562KLRCT-ND,,,,1%,,1/16W,402
50,1,R411,180k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,A129654CT-ND,,,,1%,,1/16W,402
51,1,R609,1.87k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,RMCF0402FT1K87CT-ND,,,,1%,,1/16W,402
52,1,R610,1.5k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,311-1.50KLRCT-ND,,,,1%,,1/16W,402
53,10,"R805, R1210, R1801, R1802, R1804, R1805, R1903, R1904, R1907, R1908",1k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-1.00KLCT-ND,,,,1%,,1/16W,402
54,1,R1002,100,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-100LCT-ND,,,,1%,,1/16W,402
55,1,R1201,487k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,RMCF0402FT487KCT-ND,,,,1%,,1/16W,402
56,1,R1202,6.04k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-4067-1-ND,,,,1%,,1/16W,402
57,1,R1203,40.2k,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-4097-1-ND,,,,1%,,1/16W,402
58,2,"R1207, R1208",27,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,541-4082-1-ND,,,,1%,,1/16W,402
59,1,R1702,499,Custom_Library:R_Custom,Resistors_SMD:R_0402,,,,,,,RMCF0402FT499RCT-ND,,,,1%,,1/16W,402
60,1,RV1601,10k,Device:R_POT,Potentiometer_SMD:Potentiometer_Vishay_TS53YL_Vertical,~,,,,,,TS53YL-10KCT-ND,,,,,,,
61,1,SW801,MRST,Switch:SW_Push,Buttons_Switches_THT:SW_PUSH_6mm,,,,,,,,,,,,,,
